rt,muziek,gender,geboortejaar,woonplaats,godsdienst,moedertaal,diploma_vader,diploma_moeder,secundair,uren_wiskunde,uren_nederlands,vakken_hernemen,studie_efficientie,inschrijving_ozt,traject,keuze_2ti,leerstoornis,beweging_ud,sport_uw,boeken_m,alcohol_w,frq_cannabis,uur_slaap,slaapkwaliteit,slaappatroon,wakker_worden,score_1,uren_slaap_1,interessant_1,uitgerust_1,gestresseerd_1,onthouden_1,score_2,uren_slaap_2,interessant_2,uitgerust_2,gestresseerd_2,onthouden_2
Ja ,Ja,Man,1999,Dorp,agnost,Nederlands,Lagere school,Bachelor of equivalent,ASO,3,5,Ja,50-74%,1,aangepast,Systeembeheer,,1,0,0,4,Zelden,8,Goed,Onregelmatig,Zelden,8,,Eens,Eens,Helemaal oneens,"Noch eens, noch oneens",4,7,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Ja ,Ja,Man,1998,Dorp,agnost,Nederlands,Hoger secundair,Lager secundair,TSO,4,4,Nee,75-100%,1,model,Programmeren,,2,3,5,1,Nooit,7,"Noch slecht, noch goed",Regelmatig,Af en toe,7,7,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens",5,7,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Nee,Ja,Vrouw,1998,Dorp,atheïst,Nederlands,Bachelor of equivalent,Hoger secundair,ASO,4,4,Ja,75-100%,1,aangepast,Programmeren,,2,0,0,3,Nooit,7,Slecht,"Noch onregelmatig, noch regelmatig",Af en toe,11,7,Eens,"Noch eens, noch oneens",Eens,Eens,6,7,Eens,Eens,Helemaal oneens,"Noch eens, noch oneens"
Nee,Ja,Man,1999,Platteland,atheïst,Nederlands,Master of equivalent universiteit,Master of equivalent universiteit,ASO,7,4,Nee,50-74%,1,model,Programmeren,,2.5,6,0,1,Nooit,6,Goed,"Noch onregelmatig, noch regelmatig",Zelden,15,6,Eens,"Noch eens, noch oneens","Noch eens, noch oneens",Eens,9,9,Eens,Helemaal eens,"Noch eens, noch oneens",Eens
Ja ,Nee,Man,1997,Stad,atheïst,Nederlands,Master of equivalent universiteit,Bachelor of equivalent,ASO,7,4,Ja,75-100%,1,aangepast,Systeembeheer,,1,3,0,3,Nooit,8,Goed,Zeer regelmatig,Zelden,7,8,Eens,Eens,Oneens,"Noch eens, noch oneens",10,7,Eens,"Noch eens, noch oneens",Helemaal eens,Helemaal oneens
Nee,Ja,Man,1998,Platteland,atheïst,Nederlands,Bachelor of equivalent,Bachelor of equivalent,ASO,6,5,Ja,75-100%,1,aangepast,Systeembeheer,,1,1.5,0,1,Nooit,8.5,Zeer goed,Zeer regelmatig,Meestal,18,7.3,Eens,Eens,"Noch eens, noch oneens",Helemaal eens,16,8,Eens,Eens,Oneens,Eens
Ja ,Nee,Man,1997,Stad,agnost,Nederlands,Weet niet,Lager secundair,TSO,5,2,Ja,75-100%,3,aangepast,Programmeren,,5,0,0,20,Enkele keren per week,7,Goed,Zeer regelmatig,Zelden,5,7,Eens,"Noch eens, noch oneens",Helemaal oneens,Eens,,,,,,
Nee,Nee,Man,1999,Platteland,christen,Nederlands,Hoger secundair,Hoger secundair,TSO,4,3,Ja,50-74%,1,aangepast,Programmeren,ass;AD(H)D;Dyslexie;,2,0,0,4,Nooit,6,"Noch slecht, noch goed",Zeer onregelmatig,Zelden,5,6,"Noch eens, noch oneens",Eens,"Noch eens, noch oneens","Noch eens, noch oneens",5,7,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Ja ,Ja,Man,1995,Stad,atheïst,Nederlands,Master of equivalent universiteit,Hoger secundair,ASO,6,5,Ja,75-100%,2,aangepast,Programmeren,,1,9,5,36,Maandelijks,7,Goed,"Noch onregelmatig, noch regelmatig",Zelden,10,5,Eens,Eens,Helemaal oneens,Eens,13,,,,,
Ja ,Ja,Man,1997,Platteland,christen,Nederlands,Hoger secundair,Hoger secundair,TSO,4,2,Ja,25-49%,2,aangepast,Programmeren,AD(H)D;,0.5,0,0,5,Zelden,8,Goed,"Noch onregelmatig, noch regelmatig",Nooit,,,,,,,19,7.25,Eens,"Noch eens, noch oneens",Oneens,Eens
Nee,Ja,Man,1997,Stad,christen,Nederlands,Hoger secundair,Lager secundair,ASO,6,4,Ja,50-74%,2,aangepast,Programmeren,,2,4,0,10,Nooit,6,Goed,Zeer onregelmatig,Nooit,7,3,Helemaal eens,Eens,Helemaal oneens,Helemaal eens,15,8,Eens,Eens,Oneens,Eens
Nee,Nee,Man,1995,Platteland,christen,Nederlands,Hoger secundair,Bachelor of equivalent,TSO,5,3,Ja,75-100%,2,aangepast,Programmeren,ASS;AD(H)D;,7.5,6,0,0,Zelden,7,Goed,Regelmatig,Af en toe,12,8,Eens,Eens,"Noch eens, noch oneens",Eens,5,8,Eens,Eens,"Noch eens, noch oneens",Oneens
Nee,Nee,Man,1997,Stad,atheïst,Nederlands,Master of equivalent universiteit,Bachelor of equivalent,ASO,5,4,Ja,50-74%,2,aangepast,Systeembeheer,,1,4,1,0.5,Zelden,7.5,"Noch slecht, noch goed",Regelmatig,Meestal,11,8,Eens,"Noch eens, noch oneens",Oneens,Eens,6,,Eens,"Noch eens, noch oneens",Helemaal oneens,"Noch eens, noch oneens"
Nee,Nee,Man,1997,Stad,christen,Nederlands,Hoger secundair,Hoger secundair,TSO,4,4,Ja,75-100%,1,aangepast,Systeembeheer,,2,0,1,15,Maandelijks,6,Zeer goed,Onregelmatig,Zelden,7,5,Eens,Oneens,Oneens,Eens,,,,,,
Nee,Nee,Man,1999,Stad,christen,Nederlands,Bachelor of equivalent,Bachelor of equivalent,TSO,4,3,Nee,75-100%,1,model,Programmeren,,2,0,0,2,Zelden,8,"Noch slecht, noch goed","Noch onregelmatig, noch regelmatig",Af en toe,11,6,Eens,Oneens,Oneens,Eens,,,,,,
Ja ,Ja,Man,1994,Platteland,christen,Nederlands,Bachelor of equivalent,Master of equivalent buiten universiteit,ASO,5,5,Ja,50-74%,2,aangepast,Systeembeheer,,1,0,1,1,Zelden,8,"Noch slecht, noch goed",Regelmatig,Af en toe,9,9,Oneens,Eens,Oneens,Eens,9,8,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens",Oneens
Ja ,Nee,Vrouw,1998,Stad,christen,Anders,Master of equivalent universiteit,Master of equivalent universiteit,,6,0,Nee,75-100%,1,aangepast,Programmeren,,1,3,2,,Nooit,6,"Noch slecht, noch goed","Noch onregelmatig, noch regelmatig",Zelden,3,6,Eens,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens",2,6,"Noch eens, noch oneens",Eens,Oneens,Eens
Ja ,Ja,Man,1996,Platteland,atheïst,Nederlands,Lager secundair,Geen,TSO,5,4,Ja,50-74%,3,aangepast,Programmeren,,2,3,1,0,Nooit,6,Goed,Zeer regelmatig,Zelden,7,6,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens",8,6,Eens,Eens,Helemaal oneens,Helemaal eens
Ja ,Nee,Man,1997,Platteland,agnost,Nederlands,Hoger secundair,Hoger secundair,ASO,6,4,Nee,75-100%,1,aangepast,Systeembeheer,Nachtmerries;,2,4.5,0.5,0,Zelden,6.5,Slecht,"Noch onregelmatig, noch regelmatig",Af en toe,13,6,Eens,"Noch eens, noch oneens",Helemaal oneens,Eens,14,7,Eens,Oneens,Oneens,Eens
Ja ,Nee,Man,1997,Platteland,atheïst,Nederlands,Bachelor of equivalent,Bachelor of equivalent,ASO,3,4,Nee,75-100%,1,model,Programmeren,Dyslexie;,1.5,1,0,0,Nooit,7,"Noch slecht, noch goed",Onregelmatig,Zelden,10,5,"Noch eens, noch oneens",Oneens,"Noch eens, noch oneens",Eens,9,7,"Noch eens, noch oneens",Helemaal eens,Helemaal eens,Helemaal eens
Nee,Ja,Man,1999,Platteland,atheïst,Nederlands,Hoger secundair,Bachelor of equivalent,ASO,7,4,Nee,75-100%,1,aangepast,Programmeren,,1,0,0,5,Nooit,8,Zeer goed,Regelmatig,Nooit,11,7,"Noch eens, noch oneens",Eens,Oneens,"Noch eens, noch oneens",7,7.5,Eens,Eens,"Noch eens, noch oneens",Oneens
Nee,Ja,Vrouw,1997,Stad,christen,Nederlands,Master of equivalent universiteit,Master of equivalent universiteit,ASO,8,5,Nee,75-100%,1,aangepast,Systeembeheer,,1,5,2,0,Nooit,7,"Noch slecht, noch goed",Onregelmatig,Nooit,20,5,Oneens,Oneens,"Noch eens, noch oneens","Noch eens, noch oneens",8,9,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Ja ,Nee,Vrouw,1999,Platteland,atheïst,Nederlands,Hoger secundair,Hoger secundair,ASO,6,4,Nee,50-74%,1,model,Systeembeheer,,3,0,0.2,0,Nooit,8,"Noch slecht, noch goed",Onregelmatig,Zelden,18,7,Eens,"Noch eens, noch oneens","Noch eens, noch oneens",Eens,13,6,Eens,Oneens,"Noch eens, noch oneens","Noch eens, noch oneens"
Nee,Ja,Man,1996,Platteland,christen,Nederlands,Lager secundair,Bachelor of equivalent,ASO,8,5,Ja,75-100%,1,aangepast,Programmeren,,2,3,0,20,Zelden,7,Slecht,Onregelmatig,Af en toe,16,6,Eens,Oneens,Oneens,"Noch eens, noch oneens",,,,,,
Nee,Nee,Man,1998,Platteland,christen,Nederlands,Hoger secundair,Hoger secundair,TSO,4,3,Nee,75-100%,1,model,Systeembeheer,,0.5,4,0,0,Nooit,6,"Noch slecht, noch goed",Regelmatig,Af en toe,12,6,Oneens,"Noch eens, noch oneens","Noch eens, noch oneens",Oneens,6,7,"Noch eens, noch oneens","Noch eens, noch oneens",Eens,"Noch eens, noch oneens"
Nee,Nee,Man,1998,Stad,christen,Nederlands,Bachelor of equivalent,Bachelor of equivalent,TSO,4,4,Ja,50-74%,1,aangepast,Programmeren,Tinitus (oorsuizingen);Nachtmerries;,2,4,1,4,Zelden,6,"Noch slecht, noch goed",Onregelmatig,Af en toe,11,6,Eens,Oneens,Eens,Eens,7,7,"Noch eens, noch oneens","Noch eens, noch oneens",Oneens,"Noch eens, noch oneens"
Nee,Nee,Man,1999,Stad,atheïst,Nederlands,Master of equivalent universiteit,Bachelor of equivalent,ASO,4,4,Nee,75-100%,1,model,Programmeren,,1,2,10,0,Nooit,7,"Noch slecht, noch goed",Zeer onregelmatig,Zelden,10,7.75,Eens,Eens,Oneens,Eens,9,8,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Ja ,Nee,Man,1998,Dorp,atheïst,Nederlands,Hoger secundair,Hoger secundair,ASO,4,3,Nee,75-100%,1,model,Programmeren,Tinitus (oorsuizingen);,1,0,0,2,Nooit,8,Goed,Regelmatig,Nooit,,,,,,,7,7,Eens,Eens,Eens,Eens
Nee,Nee,Man,1998,Platteland,christen,Nederlands,Bachelor of equivalent,Bachelor of equivalent,ASO,7,4,Nee,75-100%,1,model,Programmeren,,1,0,0,2,Nooit,7,Goed,Onregelmatig,Zelden,,,,,,,2,8,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Nee,Ja,Man,1995,Stad,agnost,Nederlands,Master of equivalent universiteit,Master of equivalent universiteit,ASO,4,6,Ja,25-49%,1,aangepast,Programmeren,Depressie;,0.5,2,0,20,Zelden,9,Goed,Onregelmatig,Af en toe,14,9,Helemaal oneens,Eens,Oneens,Eens,,,,,,
Ja ,Nee,Man,1997,Stad,atheïst,Nederlands,Hoger secundair,Hoger secundair,TSO,4,4,Ja,75-100%,3,aangepast,Programmeren,,1,0,0,3,Nooit,8,Slecht,Zeer onregelmatig,Meermaals per nacht,12,6,Eens,Eens,Eens,Eens,9,,,,,
Ja ,Ja,Man,1999,Stad,atheïst,Frans,Hoger secundair,Hoger secundair,ASO,4,4,Nee,75-100%,1,model,Systeembeheer,,3,12,0,1,Nooit,7,"Noch slecht, noch goed",Onregelmatig,Af en toe,16,7,Eens,"Noch eens, noch oneens",Oneens,Helemaal eens,11,7,"Noch eens, noch oneens","Noch eens, noch oneens",Oneens,Oneens
Nee,Ja,Man,1998,Stad,christen,Nederlands,Master of equivalent universiteit,Master of equivalent universiteit,ASO,6,4,Nee,75-100%,1,model,Programmeren,,1,0,0,65,Nooit,5,Zeer goed,Zeer onregelmatig,Nooit,16,,,,,,8,5,Eens,Eens,Oneens,"Noch eens, noch oneens"
Ja ,Ja,Man,1997,Platteland,christen,Nederlands,Hoger secundair,Master of equivalent universiteit,TSO,5,3,Ja,50-74%,2,aangepast,Programmeren,,2,2,0,5,Nooit,5,"Noch slecht, noch goed",Regelmatig,Zelden,15,3,Eens,Helemaal oneens,Eens,Oneens,7,8,Eens,Eens,Oneens,"Noch eens, noch oneens"
Ja ,Ja,Vrouw,1999,Platteland,christen,Nederlands,Hoger secundair,Bachelor of equivalent,ASO,4,3,Nee,75-100%,1,model,Programmeren,,1.5,1,1,1,Nooit,8,Goed,Regelmatig,Zelden,15,8,Eens,Eens,"Noch eens, noch oneens",Eens,13,8,Eens,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Ja ,Ja,Man,1998,Stad,atheïst,Nederlands,Doctoraat,Master of equivalent universiteit,TSO,5,4,Ja,50-74%,2,aangepast,Programmeren,,1,1,0,0,Nooit,8,Goed,Zeer onregelmatig,Nooit,8,7,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens",4,7,"Noch eens, noch oneens",Oneens,"Noch eens, noch oneens","Noch eens, noch oneens"
Nee,Nee,Vrouw,1999,Platteland,christen,Nederlands,Master of equivalent universiteit,Bachelor of equivalent,ASO,3,4,Ja,75-100%,1,aangepast,Systeembeheer,,1,0,0,0,Nooit,7,Slecht,Regelmatig,Af en toe,14,6,Eens,"Noch eens, noch oneens",Oneens,"Noch eens, noch oneens",12,7,Eens,"Noch eens, noch oneens","Noch eens, noch oneens",Oneens
Ja ,Nee,Man,1999,Platteland,christen,Nederlands,Master of equivalent universiteit,Bachelor of equivalent,ASO,4,5,Nee,75-100%,1,model,Systeembeheer,,1,3,0,1,Nooit,8,Goed,"Noch onregelmatig, noch regelmatig",Zelden,11,8,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens",15,7,"Noch eens, noch oneens","Noch eens, noch oneens",Oneens,Helemaal eens
Nee,Ja,Man,1999,Stad,christen,Nederlands,Master of equivalent universiteit,Bachelor of equivalent,ASO,5,5,Nee,75-100%,1,model,Systeembeheer,,5,7,0,2,Nooit,8,Goed,"Noch onregelmatig, noch regelmatig",Nooit,10,7,Eens,"Noch eens, noch oneens",Helemaal oneens,"Noch eens, noch oneens",9,8,Eens,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Ja ,Nee,Man,1998,Stad,christen,Arabisch,Hoger secundair,Lager secundair,ASO,3,2,Ja,75-100%,2,aangepast,Programmeren,,1,0,0,20,Enkele keren per maand,7,Goed,Regelmatig,Zelden,13,10,Eens,Oneens,Oneens,Helemaal eens,10,8,Helemaal eens,Eens,Helemaal oneens,Oneens
Ja ,Ja,Man,1998,Stad,christen,Nederlands,Bachelor of equivalent,Bachelor of equivalent,ASO,8,4,Ja,75-100%,1,model,Programmeren,,1,3,0,3,Nooit,7,Goed,Onregelmatig,Nooit,8,6.5,Oneens,Eens,Helemaal oneens,Helemaal eens,10,7,Oneens,Eens,Helemaal oneens,Eens
Ja ,Nee,Man,1997,Stad,christen,Nederlands,Master of equivalent universiteit,Master of equivalent universiteit,TSO,2,3,Ja,75-100%,2,aangepast,Programmeren,,2,0,0,0,Nooit,8,Goed,Regelmatig,Af en toe,13,9,Eens,Eens,Helemaal eens,"Noch eens, noch oneens",17,8,"Noch eens, noch oneens",Eens,"Noch eens, noch oneens",Oneens
