rt,muziek,gender,geboortejaar,woonplaats,godsdienst,moedertaal,diploma_vader,diploma_moeder,secundair,uren_wiskunde,uren_nederlands,vakken_hernemen,studie_efficientie,inschrijving_ozt,traject,keuze_2ti,leerstoornis,beweging_ud,sport_uw,boeken_m,alcohol_w,frq_cannabis,uur_slaap,slaapkwaliteit,slaappatroon,wakker_worden,score_1,uren_slaap_1,interessant_1,uitgerust_1,gestresseerd_1,onthouden_1,score_2,uren_slaap_2,interessant_2,uitgerust_2,gestresseerd_2,onthouden_2
Nee,Ja,Man,1998,Stad,atheïst,Anders,Weet niet,Weet niet,ASO,6,3,Ja,50-74%,1,aangepast,Programmeren,,2,0,0,0,Maandelijks,6,"Noch slecht, noch goed",Regelmatig,Nooit,9,7,Eens,Eens,,Eens,13,7,Eens,Eens,Oneens,Oneens
Nee,Nee,Man,1997,Stad,atheïst,Nederlands,Bachelor of equivalent,Bachelor of equivalent,ASO,5,4,Ja,75-100%,2,aangepast,Programmeren,Autismespectrumstoornis;,1,0,2,0,Nooit,7,"Noch slecht, noch goed",Onregelmatig,Af en toe,12,7,Oneens,"Noch eens, noch oneens","Noch eens, noch oneens",Eens,7,10,Oneens,Oneens,Eens,"Noch eens, noch oneens"
Ja ,Ja,Man,1995,Platteland,christen,Nederlands,Master of equivalent universiteit,Hoger secundair,TSO,2,2,Nee,75-100%,1,model,Systeembeheer,Depressie;,1,0,0,20,Nooit,7,Slecht,Onregelmatig,Elke nacht,3,7,Eens,Oneens,"Noch eens, noch oneens",Oneens,6,5,Eens,Eens,Helemaal oneens,Eens
Ja ,Ja,Man,1997,Platteland,agnost,Nederlands,Bachelor of equivalent,Lagere school,TSO,6,4,Ja,50-74%,3,aangepast,Systeembeheer,,1,1,0,20,Nooit,8,Slecht,Onregelmatig,Af en toe,16,8,Eens,Oneens,Helemaal oneens,Eens,9,7,"Noch eens, noch oneens",Oneens,"Noch eens, noch oneens",Eens
Ja ,Ja,Man,1997,Platteland,christen,Nederlands,Hoger secundair,Bachelor of equivalent,TSO,6,4,Ja,25-49%,2,aangepast,Systeembeheer,,1,25,0,16,Wekelijks,6,Slecht,Zeer onregelmatig,Zelden,5,6,Eens,Oneens,"Noch eens, noch oneens",Oneens,7,3,Eens,Oneens,Oneens,"Noch eens, noch oneens"
Ja ,Nee,Man,1995,Dorp,christen,Nederlands,Hoger secundair,Hoger secundair,TSO,4,2,Nee,50-74%,1,aangepast,Programmeren,,1,0,1,15,Nooit,9,Zeer goed,Regelmatig,Nooit,11,9,"Noch eens, noch oneens",Eens,Eens,Eens,5,9,"Noch eens, noch oneens",Helemaal eens,Oneens,Oneens
Nee,Nee,Man,1996,Platteland,atheïst,Nederlands,Hoger secundair,Hoger secundair,ASO,6,4,Ja,75-100%,2,aangepast,Programmeren,Nachtmerries;,3,5,1,6,Zelden,7,"Noch slecht, noch goed","Noch onregelmatig, noch regelmatig",Zelden,20,8,Oneens,Eens,Helemaal oneens,Oneens,11,5,Eens,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Ja ,Ja,Man,1998,Stad,atheïst,Nederlands,Lager secundair,Bachelor of equivalent,TSO,6,4,Ja,75-100%,1,aangepast,Programmeren,Tinitus (oorsuizingen);,2,0,0,7,Dagelijks,9,Zeer goed,Onregelmatig,Zelden,13,7,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens",10,7,"Noch eens, noch oneens",Oneens,Oneens,"Noch eens, noch oneens"
Ja ,Ja,,1998,Platteland,christen,Nederlands,Hoger secundair,Hoger secundair,TSO,8,3,Nee,75-100%,1,model,Programmeren,Nachtmerries;,2,55,0.2,3,Nooit,6.5,Slecht,Onregelmatig,Af en toe,7,6,Eens,Oneens,Oneens,"Noch eens, noch oneens",6,6,Eens,Eens,Oneens,"Noch eens, noch oneens"
Ja ,Ja,Man,1998,Stad,atheïst,Nederlands,Hoger secundair,Bachelor of equivalent,TSO,6,3,Ja,50-74%,1,aangepast,Programmeren,,2,4,0,3,Nooit,7,Goed,Onregelmatig,Af en toe,5,6,"Noch eens, noch oneens",Eens,Oneens,Oneens,5,7,Oneens,"Noch eens, noch oneens",Helemaal oneens,Oneens
Ja ,Ja,Man,1999,Platteland,christen,Nederlands,Bachelor of equivalent,Bachelor of equivalent,ASO,4,4,Nee,75-100%,1,model,Programmeren,,1,0,0,0,Nooit,8,Goed,Regelmatig,Zelden,14,8,Helemaal eens,Eens,"Noch eens, noch oneens",Eens,,,,,,
Nee,Nee,Man,1997,Stad,christen,Nederlands,Hoger secundair,Hoger secundair,ASO,6,4,Ja,75-100%,1,model,Systeembeheer,,1.2,8,1,5,Zelden,7,Slecht,Onregelmatig,Elke nacht,25,7,Helemaal eens,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens",19,7,Eens,Oneens,"Noch eens, noch oneens","Noch eens, noch oneens"
Ja ,Ja,Man,1998,Anders,christen,Nederlands,Hoger secundair,Hoger secundair,ASO,3,5,Ja,50-74%,1,aangepast,Systeembeheer,,2,2,0,5,Nooit,6,Zeer slecht,Zeer onregelmatig,Meestal,20,6,Eens,Helemaal oneens,"Noch eens, noch oneens",Eens,10,6,Eens,Helemaal eens,Helemaal oneens,Eens
Nee,Ja,Man,1995,Platteland,agnost,Nederlands,Bachelor of equivalent,Master of equivalent universiteit,ASO,3,5,Ja,75-100%,1,aangepast,Systeembeheer,,1,7,0,4,Nooit,6,Zeer goed,Zeer onregelmatig,Nooit,14,7,Eens,Helemaal eens,Helemaal oneens,Helemaal eens,11,9,"Noch eens, noch oneens",Eens,Oneens,Eens
Ja ,Nee,Man,1998,Platteland,atheïst,Nederlands,Bachelor of equivalent,Bachelor of equivalent,ASO,7,4,Ja,75-100%,1,aangepast,Programmeren,,1,1,0,40,Zelden,6,"Noch slecht, noch goed",Onregelmatig,Zelden,21,6,Eens,Oneens,Oneens,Eens,11,6,Eens,Eens,Helemaal oneens,Eens
Ja ,Ja,Man,1998,Stad,atheïst,Nederlands,Bachelor of equivalent,Hoger secundair,ASO,6,4,Ja,50-74%,2,aangepast,Systeembeheer,,1,5,1,16,Zelden,5,"Noch slecht, noch goed",Onregelmatig,Zelden,10,9,"Noch eens, noch oneens",Eens,Oneens,Eens,10,5,"Noch eens, noch oneens",Oneens,Helemaal eens,Helemaal oneens
Ja ,Ja,Man,1997,Stad,moslim,Frans,Weet niet,Lager secundair,TSO,4,4,Nee,75-100%,1,model,Programmeren,,2,5,0,0,Nooit,9,Goed,Regelmatig,Zelden,11,7,Eens,"Noch eens, noch oneens",Helemaal oneens,Helemaal eens,8,9,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Nee,Nee,Man,1997,Dorp,atheïst,Nederlands,Bachelor of equivalent,Hoger secundair,ASO,5,4,Nee,75-100%,1,model,Systeembeheer,,2,0,0,0,Nooit,8.5,Goed,Regelmatig,Af en toe,4,8,"Noch eens, noch oneens",Eens,"Noch eens, noch oneens",Eens,4,7,"Noch eens, noch oneens","Noch eens, noch oneens",Helemaal oneens,"Noch eens, noch oneens"
Ja ,Ja,Man,1998,Platteland,atheïst,Nederlands,Hoger secundair,Lager secundair,BSO,0,0,Ja,50-74%,1,aangepast,Programmeren,"discalculie, insomnia;AD(H)D;Dyslexie;",2.3,14.3,,0,Nooit,7,"Noch slecht, noch goed",Regelmatig,Af en toe,8,8,Helemaal eens,Eens,Helemaal oneens,Helemaal eens,7,7,"Noch eens, noch oneens",Eens,"Noch eens, noch oneens",Eens
Nee,Nee,Man,1999,Platteland,christen,Nederlands,Bachelor of equivalent,Hoger secundair,ASO,4,5,Nee,75-100%,1,model,Systeembeheer,,1,0,0,2,Nooit,7,Goed,Regelmatig,Zelden,9,7,"Noch eens, noch oneens","Noch eens, noch oneens",Oneens,"Noch eens, noch oneens",7,7,Eens,Eens,Oneens,Eens
Nee,Nee,Man,1996,Stad,atheïst,Nederlands,Geen,Geen,ASO,4,5,Ja,75-100%,2,aangepast,Programmeren,Bipolaire stoornis;AD(H)D;Paniekaanvallen;Depressie;,2,0,3,24,Enkele keren per maand,6,Slecht,Zeer onregelmatig,Nooit,16,4,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens",,,,,,
Ja ,Ja,Man,1996,Stad,atheïst,Nederlands,Hoger secundair,Bachelor of equivalent,ASO,6,5,Ja,75-100%,1,aangepast,Systeembeheer,Tinitus (oorsuizingen);,2,8,0,0,Zelden,8,"Noch slecht, noch goed","Noch onregelmatig, noch regelmatig",Af en toe,,,,,,,16,9,Eens,Helemaal oneens,Helemaal oneens,Eens
Nee,Ja,Man,1998,Platteland,christen,Nederlands,Hoger secundair,Hoger secundair,ASO,6,4,Ja,75-100%,2,aangepast,Programmeren,,2,6,1,10,Zelden,6.5,Goed,Regelmatig,Nooit,,,,,,,,,,,,
Ja ,Nee,Man,1995,Dorp,agnost,Nederlands,Master of equivalent universiteit,Master of equivalent universiteit,ASO,6,4,Ja,50-74%,1,aangepast,Programmeren,Tinitus (oorsuizingen);,2,4,1,4,Zelden,8,Zeer slecht,Zeer onregelmatig,Meestal,15,6,Eens,Helemaal oneens,Helemaal oneens,Helemaal eens,18,9,Helemaal oneens,Eens,"Noch eens, noch oneens",Eens
Nee,Nee,Man,1990,Stad,agnost,Nederlands,Bachelor of equivalent,Bachelor of equivalent,ASO,3,6,Nee,75-100%,1,aangepast,Programmeren,,1,5,0.5,7,Nooit,6,Goed,Onregelmatig,Af en toe,,,,,,,,,,,,
Nee,Nee,Man,1997,Stad,atheïst,Nederlands,Master of equivalent universiteit,Doctoraat,ASO,4,5,Nee,75-100%,1,model,Programmeren,,1.25,0,2,8,Nooit,6,Slecht,Zeer onregelmatig,Zelden,8,5,Eens,Oneens,Eens,Eens,,,,,,
Ja ,Nee,Man,1999,Platteland,atheïst,Nederlands,Hoger secundair,Hoger secundair,TSO,3,3,Ja,75-100%,1,aangepast,Systeembeheer,,2,3,2,1,Nooit,6.5,"Noch slecht, noch goed",Regelmatig,Zelden,19,6,Helemaal eens,Eens,Oneens,Helemaal eens,16,6,Helemaal eens,Oneens,Eens,Helemaal oneens
Nee,Ja,Man,1996,Platteland,moslim,Turks,Lager secundair,Bachelor of equivalent,ASO,3,5,Ja,50-74%,1,aangepast,Programmeren,AD(H)D;Depressie;,3,10,0,0,Nooit,5,"Noch slecht, noch goed",Onregelmatig,Zelden,,,,,,,7,7,Helemaal oneens,"Noch eens, noch oneens",Eens,"Noch eens, noch oneens"
Ja ,Ja,Man,1997,Platteland,christen,Nederlands,Master of equivalent universiteit,Master of equivalent universiteit,TSO,6,4,Nee,50-74%,1,model,Systeembeheer,AD(H)D;,1,6,0,10,Maandelijks,8,"Noch slecht, noch goed",Regelmatig,Zelden,10,7,Eens,Eens,Helemaal eens,Oneens,,,,,,
Ja ,Ja,Man,1999,Platteland,anders,Nederlands,Bachelor of equivalent,Lager secundair,TSO,4,3,Nee,75-100%,1,model,Programmeren,,2.5,8,0,7,Nooit,7.5,Goed,Regelmatig,Nooit,14,5.6,Eens,Oneens,Helemaal oneens,Eens,9,7,Eens,Eens,"Noch eens, noch oneens",Eens
Ja ,Ja,Man,1997,Platteland,christen,Nederlands,Bachelor of equivalent,Hoger secundair,TSO,8,4,Nee,50-74%,1,aangepast,Systeembeheer,,2,0,0,15,Nooit,7,Goed,Regelmatig,Zelden,13,6,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens",,,,,,
Ja ,Nee,Man,1997,Anders,christen,Nederlands,Doctoraat,Master of equivalent universiteit,ASO,6,5,Ja,50-74%,2,aangepast,Systeembeheer,Dyslexie;,0.5,0,1,0.25,Nooit,6,Goed,Regelmatig,Zelden,17,7,Eens,Eens,Eens,Helemaal eens,11,7,Eens,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Nee,Nee,Man,1999,Platteland,christen,Nederlands,Bachelor of equivalent,Bachelor of equivalent,ASO,4,3,Ja,75-100%,1,aangepast,Programmeren,,1,3,0,3,Nooit,6,"Noch slecht, noch goed",Onregelmatig,Nooit,16,6,Eens,Eens,Oneens,Eens,10,7,"Noch eens, noch oneens",,,
Ja ,Ja,Man,1999,Stad,atheïst,Nederlands,Bachelor of equivalent,Master of equivalent universiteit,TSO,4,2,Nee,75-100%,1,model,Programmeren,Dyslexie;,1,6,0,15,Zelden,6,"Noch slecht, noch goed",Zeer onregelmatig,Zelden,15,6,Eens,"Noch eens, noch oneens","Noch eens, noch oneens",Eens,8,5,,Eens,Oneens,Eens
Nee,Nee,Man,1999,Dorp,atheïst,Nederlands,Hoger secundair,Hoger secundair,ASO,5,4,Nee,75-100%,1,model,Systeembeheer,,0.5,0,0,1,Nooit,6.5,Goed,Onregelmatig,Zelden,15,6,"Noch eens, noch oneens",Eens,Oneens,"Noch eens, noch oneens",5,7,Eens,Oneens,Helemaal oneens,Eens
Nee,Nee,Man,1997,Platteland,atheïst,Nederlands,Lager secundair,Master of equivalent universiteit,ASO,8,5,,50-74%,1,aangepast,Programmeren,A.S.S.;Dyslexie;,9,0,20,2,Nooit,6.5,Goed,Onregelmatig,Zelden,12,4,Eens,Oneens,Helemaal oneens,Eens,13,6,Eens,Eens,Oneens,"Noch eens, noch oneens"
Ja ,Ja,Man,1995,Anders,atheïst,Nederlands,Bachelor of equivalent,Bachelor of equivalent,TSO,4,4,Nee,75-100%,1,model,Programmeren,,2,0,0,3,Nooit,7,"Noch slecht, noch goed",Regelmatig,Af en toe,9,8,Eens,Eens,Helemaal eens,Eens,14,8,Eens,Helemaal eens,Eens,Eens
Nee,Nee,Man,1999,Platteland,atheïst,Nederlands,Hoger secundair,Hoger secundair,ASO,4,4,Nee,75-100%,1,model,Programmeren,,2,0,0,0,Nooit,8,"Noch slecht, noch goed",Zeer regelmatig,Nooit,8,9,"Noch eens, noch oneens",Eens,Helemaal oneens,Eens,5,8,"Noch eens, noch oneens",Oneens,Oneens,"Noch eens, noch oneens"
Ja ,Ja,Man,,Platteland,atheïst,Nederlands,Bachelor of equivalent,Master of equivalent universiteit,TSO,4,4,Nee,50-74%,1,model,Programmeren,Slaapstoornissen;,2,8,0,5,Nooit,9,Slecht,Zeer onregelmatig,Af en toe,13,6,,Helemaal oneens,Oneens,Eens,4,11,Eens,Eens,"Noch eens, noch oneens",Eens
Nee,Ja,Man,1997,Stad,atheïst,Nederlands,Doctoraat,Master of equivalent universiteit,ASO,5,4,Nee,75-100%,1,model,Programmeren,Dysortography;Dyslexie;,1,0,1,2,Nooit,6,Slecht,Onregelmatig,Zelden,14,6,Eens,"Noch eens, noch oneens",Oneens,Eens,8,7.5,Eens,Oneens,"Noch eens, noch oneens","Noch eens, noch oneens"
Ja ,Nee,Man,1998,Platteland,christen,Nederlands,Hoger secundair,Bachelor of equivalent,ASO,4,5,Nee,75-100%,1,model,Programmeren,AD(H)D;,3,5,0,60,Dagelijks,7,"Noch slecht, noch goed",Zeer onregelmatig,Af en toe,6,5,"Noch eens, noch oneens",Oneens,,"Noch eens, noch oneens",9,5,"Noch eens, noch oneens","Noch eens, noch oneens",Oneens,Eens
Ja ,Nee,Man,1996,Platteland,atheïst,Nederlands,Bachelor of equivalent,Hoger secundair,TSO,4,3,Ja,75-100%,2,aangepast,Programmeren,,1,45,0,3,Maandelijks,8,Zeer goed,Regelmatig,Zelden,7,8,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens",5,7,"Noch eens, noch oneens",Oneens,Oneens,Oneens
Nee,Ja,Man,2000,Dorp,atheïst,Nederlands,Hoger secundair,Master of equivalent universiteit,ASO,6,5,Ja,75-100%,1,aangepast,Programmeren,,2,12,0,0,Nooit,7,Slecht,"Noch onregelmatig, noch regelmatig",Af en toe,14,8,,"Noch eens, noch oneens","Noch eens, noch oneens",Eens,19,6,Helemaal eens,Eens,"Noch eens, noch oneens",Oneens
Ja ,Nee,Man,1996,Stad,atheïst,Nederlands,Hoger secundair,Hoger secundair,TSO,5,4,Nee,50-74%,2,aangepast,Programmeren,Depressie;,3,1,0.25,0,Nooit,6,"Noch slecht, noch goed","Noch onregelmatig, noch regelmatig",Nooit,7,4,Helemaal eens,Eens,Helemaal oneens,Eens,9,6,Eens,Eens,Helemaal oneens,Eens
Nee,Ja,Man,1997,Stad,christen,Nederlands,Master of equivalent universiteit,Bachelor of equivalent,ASO,6,5,Ja,75-100%,2,aangepast,Programmeren,,2,0,0,20,Zelden,7,"Noch slecht, noch goed",Onregelmatig,Zelden,16,7.5,"Noch eens, noch oneens",Eens,Oneens,Eens,5,7,"Noch eens, noch oneens","Noch eens, noch oneens",Helemaal oneens,Eens
Nee,Ja,Vrouw,1999,Stad,atheïst,Nederlands,Hoger secundair,Hoger secundair,ASO,3,4,Nee,75-100%,1,model,Programmeren,,0.5,4.5,0,5,Nooit,6,"Noch slecht, noch goed",Onregelmatig,Meermaals per nacht,,,,,,,,,,,,
Nee,Nee,Man,1997,Platteland,atheïst,Nederlands,Bachelor of equivalent,Bachelor of equivalent,TSO,4,2,Ja,50-74%,2,aangepast,Programmeren,,1,1,0,45,Maandelijks,7,Goed,Zeer onregelmatig,Af en toe,15,7,"Noch eens, noch oneens",Oneens,Helemaal oneens,Eens,3,12,Eens,Helemaal eens,"Noch eens, noch oneens","Noch eens, noch oneens"
Nee,Ja,Man,1995,Platteland,atheïst,Nederlands,Doctoraat,Bachelor of equivalent,ASO,6,5,Ja,75-100%,1,aangepast,Programmeren,Dyslexie;,0.5,2,1,1,Nooit,8,Zeer goed,Zeer regelmatig,Af en toe,11,8,Helemaal eens,Helemaal eens,"Noch eens, noch oneens",Oneens,3,8,Helemaal eens,Oneens,,
Nee,Nee,Man,1996,Stad,christen,Nederlands,Hoger secundair,Hoger secundair,TSO,4,2,Ja,75-100%,1,aangepast,Programmeren,,1,3,0,3,Nooit,7,"Noch slecht, noch goed",Zeer onregelmatig,Zelden,11,8,Eens,"Noch eens, noch oneens",Oneens,Helemaal eens,,,,,,
Ja ,Nee,Man,1998,Platteland,christen,Nederlands,Lager secundair,Bachelor of equivalent,ASO,5,4,Ja,75-100%,1,aangepast,Programmeren,,0,0,0,0,Nooit,7,Goed,Regelmatig,Nooit,9,7,"Noch eens, noch oneens",Eens,Eens,Eens,5,7,"Noch eens, noch oneens",Oneens,Oneens,"Noch eens, noch oneens"
Nee,Ja,Man,2000,Anders,christen,Nederlands,Master of equivalent universiteit,Master of equivalent universiteit,ASO,6,4,Nee,75-100%,1,model,Systeembeheer,hyperacusis;Nachtmerries;,1.5,1,1,5,Nooit,6,Zeer slecht,Zeer onregelmatig,Meermaals per nacht,13,6,Eens,Oneens,"Noch eens, noch oneens","Noch eens, noch oneens",11,6,"Noch eens, noch oneens",,Helemaal oneens,Helemaal eens
Ja ,Nee,Man,1997,Stad,atheïst,Nederlands,Bachelor of equivalent,Hoger secundair,ASO,4,4,Ja,75-100%,2,aangepast,Programmeren,Fysieke beperking (rolwagen);,0,0,2,1,Enkele keren per week,6,Zeer goed,Onregelmatig,Nooit,10,6,Eens,Eens,Oneens,Eens,11,,,,,
Nee,Ja,Man,1999,Platteland,atheïst,Nederlands,Master of equivalent universiteit,Hoger secundair,TSO,4,4,Nee,75-100%,1,model,Programmeren,AD(H)D;,3,0,0,10,Enkele keren per week,6,"Noch slecht, noch goed",Zeer onregelmatig,Nooit,11,4.5,Eens,Oneens,Oneens,Eens,6.5,6,Eens,"Noch eens, noch oneens",Oneens,"Noch eens, noch oneens"
Ja ,Ja,Man,1999,Stad,atheïst,Nederlands,Weet niet,Weet niet,ASO,8,4,Ja,75-100%,1,aangepast,Programmeren,,2,0,0,0,Nooit,7,Slecht,Onregelmatig,Zelden,10,6,Eens,"Noch eens, noch oneens",Helemaal oneens,Helemaal eens,16,6,,Helemaal oneens,Helemaal oneens,"Noch eens, noch oneens"
Ja ,Nee,Man,2000,Stad,atheïst,Nederlands,Bachelor of equivalent,Bachelor of equivalent,ASO,5,5,Nee,75-100%,1,model,Programmeren,,1,0,1,15,Enkele keren per maand,7,Goed,Onregelmatig,Af en toe,12,8,Eens,"Noch eens, noch oneens",Helemaal oneens,Eens,18,,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Ja ,Nee,Man,1998,Stad,christen,Nederlands,Hoger secundair,Hoger secundair,TSO,2,2,Ja,75-100%,1,aangepast,Programmeren,Paniekaanvallen;,2,0,0,0,Nooit,8,"Noch slecht, noch goed",Zeer onregelmatig,Af en toe,10,7,Eens,"Noch eens, noch oneens",Oneens,Oneens,,,,,,
Ja ,Ja,Man,1998,Platteland,christen,Nederlands,Bachelor of equivalent,Master of equivalent universiteit,ASO,4,5,Nee,75-100%,1,model,Programmeren,,1,1,4,35,Wekelijks,6,Goed,Onregelmatig,Meestal,14,5,Helemaal eens,Oneens,Oneens,Helemaal eens,14,5,Eens,"Noch eens, noch oneens",Oneens,Eens
Nee,Nee,Man,1997,Stad,christen,Nederlands,Hoger secundair,Hoger secundair,TSO,3,3,Ja,75-100%,2,aangepast,Programmeren,,2,0.7,0,5,Nooit,6.5,Goed,"Noch onregelmatig, noch regelmatig",Zelden,10,7.5,Eens,Eens,Helemaal oneens,Eens,4,6,"Noch eens, noch oneens",Eens,"Noch eens, noch oneens","Noch eens, noch oneens"
Ja ,Nee,Man,1995,Stad,moslim,Arabisch,Hoger secundair,Hoger secundair,ASO,6,4,Nee,75-100%,1,aangepast,Programmeren,Geen;,1,6,0,0.5,Maandelijks,7,Goed,Regelmatig,Zelden,8,7.5,Eens,"Noch eens, noch oneens","Noch eens, noch oneens",Eens,12,8,Eens,"Noch eens, noch oneens",Oneens,Eens
Ja ,Ja,Man,1998,Stad,christen,Nederlands,Hoger secundair,Bachelor of equivalent,ASO,6,4,Ja,50-74%,1,aangepast,Systeembeheer,Tinitus (oorsuizingen);,2,0,0.5,10,Enkele keren per maand,7,"Noch slecht, noch goed",Regelmatig,Meermaals per nacht,6,7,Eens,"Noch eens, noch oneens",Oneens,Eens,5,9,"Noch eens, noch oneens",Eens,Helemaal oneens,Oneens
Ja ,Nee,Man,1996,Platteland,agnost,Nederlands,Weet niet,Hoger secundair,TSO,2,4,Ja,75-100%,1,aangepast,Systeembeheer,AD(H)D;Dyslexie;,0.5,3,1,3,Nooit,7,"Noch slecht, noch goed",Onregelmatig,Af en toe,9,7,"Noch eens, noch oneens",Eens,Oneens,Eens,13,8,"Noch eens, noch oneens",Helemaal eens,"Noch eens, noch oneens","Noch eens, noch oneens"
Nee,Ja,Man,1996,Platteland,agnost,Nederlands,Lager secundair,Bachelor of equivalent,TSO,5,4,Ja,75-100%,3,aangepast,Programmeren,NLD;,1,1,2,0,Nooit,4,Slecht,Onregelmatig,Zelden,14,7,Eens,Oneens,"Noch eens, noch oneens",Helemaal eens,11,9,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Ja ,Nee,Man,1997,Stad,atheïst,Nederlands,Lager secundair,Lager secundair,ASO,4,4,Ja,50-74%,2,aangepast,Programmeren,,1,0,1,1,Nooit,6,"Noch slecht, noch goed",Regelmatig,Zelden,8,6.5,Eens,"Noch eens, noch oneens",Oneens,Helemaal eens,6,7,Eens,Eens,Helemaal oneens,Eens
Nee,Nee,Man,1997,Platteland,atheïst,Nederlands,Bachelor of equivalent,Bachelor of equivalent,ASO,5,4,Ja,75-100%,2,aangepast,Programmeren,,1,2,0,4,Nooit,6,Zeer goed,Onregelmatig,Nooit,,,,,,,9,7,Eens,"Noch eens, noch oneens",Eens,"Noch eens, noch oneens"
Nee,Ja,Man,1997,Stad,christen,Nederlands,Bachelor of equivalent,Bachelor of equivalent,ASO,5,5,Ja,50-74%,2,aangepast,Systeembeheer,,2,0,0,3,Nooit,5,"Noch slecht, noch goed",Zeer onregelmatig,Nooit,13,0,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens",7,6,Eens,"Noch eens, noch oneens",Helemaal oneens,"Noch eens, noch oneens"
Ja ,Ja,Man,1997,Stad,christen,Nederlands,Lager secundair,Bachelor of equivalent,TSO,6,3,Nee,75-100%,1,model,Systeembeheer,AD(H)D;,1,0,0,3,Enkele keren per week,7,Goed,Onregelmatig,Af en toe,12,7,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens",9,7,"Noch eens, noch oneens",Eens,Eens,Helemaal eens
Ja ,Ja,Man,1998,Platteland,christen,Nederlands,Hoger secundair,Bachelor of equivalent,ASO,4,5,Ja,75-100%,1,model,Programmeren,,1,0,1,0,Nooit,7.5,Goed,"Noch onregelmatig, noch regelmatig",Zelden,10,7,Helemaal eens,"Noch eens, noch oneens",Helemaal oneens,Helemaal eens,,,,,,
Nee,Nee,Man,1998,Platteland,atheïst,Nederlands,Hoger secundair,Hoger secundair,TSO,5,3,Ja,75-100%,1,aangepast,Programmeren,,2,6,2,4,Maandelijks,7,Goed,Regelmatig,Zelden,18,5,Eens,"Noch eens, noch oneens",Oneens,Helemaal eens,12,6,Eens,"Noch eens, noch oneens",Helemaal oneens,Eens
Nee,Ja,Man,1997,Dorp,christen,Nederlands,Bachelor of equivalent,Bachelor of equivalent,TSO,6,4,Ja,50-74%,1,aangepast,Systeembeheer,,1,0,0,1,Nooit,6,Goed,Regelmatig,Meestal,16,7,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens",6,8,Eens,Eens,Helemaal eens,"Noch eens, noch oneens"
Nee,Nee,Man,1999,Platteland,agnost,Nederlands,Bachelor of equivalent,Bachelor of equivalent,ASO,5,5,Nee,75-100%,1,model,Systeembeheer,,2,5,1,4,Nooit,7,Zeer goed,Onregelmatig,Zelden,20,7,Helemaal eens,"Noch eens, noch oneens",Helemaal oneens,Helemaal eens,17,7,Helemaal eens,Helemaal oneens,Oneens,"Noch eens, noch oneens"
Ja ,Ja,Man,1996,Stad,moslim,Anders,Hoger secundair,Hoger secundair,ASO,8,5,Nee,75-100%,1,model,Programmeren,,1,3,0,0,Nooit,6,Goed,Onregelmatig,Zelden,14,6,"Noch eens, noch oneens",Eens,Helemaal oneens,Eens,9,8,"Noch eens, noch oneens",Eens,Eens,Eens
Ja ,Nee,Man,1997,Platteland,atheïst,Frans,Hoger secundair,Hoger secundair,TSO,3,4,Ja,50-74%,1,aangepast,Systeembeheer,Autisme;,1,4,0,0,Nooit,7,Goed,Regelmatig,Zelden,11,6,Eens,"Noch eens, noch oneens","Noch eens, noch oneens",Eens,11,9,Eens,Eens,Oneens,"Noch eens, noch oneens"
Nee,Nee,Man,1998,Stad,atheïst,Nederlands,Bachelor of equivalent,Hoger secundair,TSO,3,3,Ja,50-74%,2,aangepast,Programmeren,Depressie;,1,1,0,0,Nooit,7,"Noch slecht, noch goed","Noch onregelmatig, noch regelmatig",Nooit,7,7,Eens,Oneens,Oneens,Eens,9,8,Eens,Eens,Oneens,"Noch eens, noch oneens"
Nee,Ja,Man,1998,Platteland,atheïst,Nederlands,Master of equivalent universiteit,Bachelor of equivalent,ASO,7,4,Ja,75-100%,1,aangepast,Programmeren,,2,1.5,0,0,Nooit,6,Zeer slecht,Onregelmatig,Meestal,4,5,"Noch eens, noch oneens",Oneens,"Noch eens, noch oneens","Noch eens, noch oneens",12,6,"Noch eens, noch oneens",Oneens,"Noch eens, noch oneens","Noch eens, noch oneens"
